Gender,Age,Annual Income,Spending Score (1-100),Work Experience,Family Size,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing
1,19,15000,39,1,4,False,False,False,False,True,False,False,False
1,21,35000,81,3,3,False,True,False,False,False,False,False,False
0,20,86000,6,1,1,False,True,False,False,False,False,False,False
0,23,59000,77,0,2,False,False,False,False,False,False,True,False
0,31,38000,40,2,6,False,False,True,False,False,False,False,False
0,22,58000,76,0,2,False,False,False,False,False,False,False,False
0,35,31000,6,1,3,False,False,False,False,True,False,False,False
0,23,84000,94,1,3,False,False,False,False,True,False,False,False
1,64,97000,3,0,3,False,True,False,False,False,False,False,False
0,30,98000,72,1,4,False,False,False,False,False,False,False,False
1,67,7000,14,1,3,False,True,False,False,False,False,False,False
0,35,93000,99,4,4,False,False,False,False,True,False,False,False
0,58,80000,15,0,5,False,False,False,True,False,False,False,False
0,24,91000,77,1,1,False,False,False,False,False,False,True,False
1,37,19000,13,0,1,True,False,False,False,False,False,False,False
1,22,51000,79,1,2,False,False,False,False,True,False,False,False
0,35,29000,35,9,5,False,False,False,False,False,True,False,False
1,20,89000,66,1,6,False,False,False,False,True,False,False,False
1,52,20000,29,1,4,False,False,True,False,False,False,False,False
0,35,62000,98,0,1,False,False,False,False,False,False,False,False
1,35,96000,35,12,1,False,False,False,False,False,True,False,False
1,25,4000,73,3,4,False,False,False,False,True,False,False,False
0,46,42000,5,13,2,False,False,False,False,False,False,False,False
1,31,71000,73,5,2,False,False,False,False,False,False,False,False
0,54,67000,14,1,3,False,False,False,True,False,False,False,False
1,29,52000,82,1,3,False,False,False,False,False,False,False,False
0,45,68000,32,9,8,False,False,False,False,True,False,False,False
1,35,78000,61,1,3,False,False,False,False,False,False,False,False
0,40,18000,31,0,1,False,False,False,False,False,False,False,False
0,23,20000,87,5,4,False,False,False,False,False,False,False,False
1,60,39000,4,0,3,False,False,False,False,False,False,False,False
0,21,34000,73,1,2,True,False,False,False,False,False,False,False
