Name,Price,Color,Mileage,Make,Model,City,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Item URL
Kia Sportage 2024,"2,800,000 EGP",Dark grey,300 Km,Kia,Sportage,Tagamo3 - New Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6258710
Chery Arrizo 5 2022,,Bronze,"86,000 Km",Chery,Arrizo 5,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6285147
Fiat Tipo 2021,"1,200,000 EGP",Petroleum,"131,000 Km",Fiat,Tipo,Kafr el-Dawwar,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6286701
Hyundai Tucson Turbo GDI 2021,"2,050,000 EGP",Black,"125,000 Km",Hyundai,Tucson Turbo GDI,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Tucson-Turbo/6286695
BMW X1 2018,"2,050,000 EGP",Gray,"84,000 Km",BMW,X1,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/bmw/x1/6254123
Chevrolet Optra 2021,"700,000 EGP",Blue,"75,000 Km",Chevrolet,Optra,Obour City,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286679
Chery Arrizo 5 2021,"700,000 EGP",Silver,"25,000 Km",Chery,Arrizo 5,Obour City,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6286673
Kia Sportage 2022,"1,950,000 EGP",Blue,"33,000 Km",Kia,Sportage,Giza,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6262769
Hyundai Verna 2014,"400,000 EGP",Black,"238,000 Km",Hyundai,Verna,Faiyum,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286602
Ford Focus 2018,"870,000 EGP",Brown,"99,000 Km",Ford,Focus,El Haram,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/ford/focus/6286581
Nissan Tiida 2011,"575,000 EGP",Silver,"262,000 Km",Nissan,Tiida,Maadi,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/tiida/6286779
Mitsubishi Lancer Puma 2014,"640,000 EGP",Silver,"180,000 Km",Mitsubishi,Lancer Puma,Tagamo3 - New Cairo,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6286767
Opel Grandland 2022,"1,900,000 EGP",Black,"98,000 Km",Opel,Grandland,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/Grandland/6280913
Nissan Sunny 2022,"830,000 EGP",Red,"67,000 Km",Nissan,Sunny,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6283629
Fiat Uno 2001,"150,000 EGP",White,"180,000 Km",Fiat,Uno,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/uno/6286515
Kia Spectra 2002,"325,000 EGP",Gray,"253,000 Km",Kia,Spectra,Al Shorouk,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/kia/spectra/6286758
Toyota Corolla 2008,"650,000 EGP",Black,"199,000 Km",Toyota,Corolla,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6286755
